GeneName,FC,P,FDR,Color,Significance
ZIC4,0.229457963,0.576062493,0.779961219,#D3D3D3,0.239530401
ARID4A,0.027639589,0.876332996,0.944778118,#D3D3D3,0.057330836
ZP2,0.0403547,0.881642622,0.947162855,#D3D3D3,0.054707422
PRSS21,-0.378435302,0.288495182,0.545111243,#D3D3D3,0.539861435
TTC31,-0.218566085,0.130590354,0.347726802,#D3D3D3,0.884088901
GUF1,0.179278864,0.377280231,0.630196334,#D3D3D3,0.423335951
KRTAP13-2,-0.06239598,0.848843425,0.931103617,#D3D3D3,0.071172411
XPR1,0.100571232,0.682207463,0.843433903,#D3D3D3,0.166083534
SLC39A13,-0.574298718,0.024036072,0.122610158,#0072B2,1.619136497
SAP30L,0.519938184,0.011988629,0.076594527,#56B4E9,1.921230461
PPP2R1B,-0.093751061,0.640127352,0.820683584,#D3D3D3,0.193733615
TSPAN7,-0.257156089,0.293123915,0.550391094,#D3D3D3,0.532948748
MT2A,-1.555485542,4.37E-06,0.000279579,#0072B2,5.359199829
RANBP1,0.695086707,0.005679469,0.045551642,#56B4E9,2.245692268
MRM1,-0.045529054,0.843609038,0.928171755,#D3D3D3,0.073858776
THEM5,-0.10300955,0.708421544,0.857678091,#D3D3D3,0.14970824
TMCC2,0.213196501,0.326491415,0.584727105,#D3D3D3,0.486128234
HKDC1,-0.563289545,0.032536792,0.148369885,#0072B2,1.487625267
ISL2,-0.44327692,0.097383893,0.294246707,#D3D3D3,1.011512869
CCL22,1.309331229,0.000542224,0.008391769,#56B4E9,3.265821594
DNASE1L1,-0.335922115,0.05929368,0.214128065,#D3D3D3,1.226991597
SDC1,-2.120321368,4.25E-05,0.00137116,#0072B2,4.371113045
DDC,-0.254567679,0.263729453,0.520114229,#D3D3D3,0.578841366
UBFD1,0.070785238,0.762468453,0.887113276,#D3D3D3,0.11777812
OR7D2,-0.327573385,0.026364902,0.130012583,#D3D3D3,1.578973832
NegProbe-WTX,-0.551721744,7.54E-05,0.002075404,#0072B2,4.122848887
ARHGAP21,-0.263718328,0.078882616,0.25762839,#D3D3D3,1.103018694
GIT2,0.326033769,0.046748517,0.184606256,#D3D3D3,1.330232164
CERS5,0.05277639,0.830182364,0.92210295,#D3D3D3,0.080826497
SRRM3,-0.291798427,0.133031529,0.351208238,#D3D3D3,0.876045417
PDE12,0.351610045,0.112362793,0.318868921,#D3D3D3,0.949377472
HDDC3,0.137659937,0.605448952,0.799830431,#D3D3D3,0.217922468
KCNJ13,0.380437163,0.185680872,0.428048888,#D3D3D3,0.731232833
ULK1,-0.405445823,0.042199128,0.173131474,#D3D3D3,1.374696528
SIGLEC11,-0.559680345,0.091108166,0.282319734,#D3D3D3,1.040442694
TSPAN15,-0.407841687,0.083414177,0.268192015,#D3D3D3,1.07876013
C1orf115,-0.103606838,0.695074121,0.850870078,#D3D3D3,0.157968881
AGTR2,-0.435809581,0.043637307,0.176581793,#D3D3D3,1.360142062
CPNE4,-0.565362299,0.099841081,0.298323677,#D3D3D3,1.000690725
ZNF567,0.056732688,0.765010939,0.888532449,#D3D3D3,0.116332355
PALB2,0.102069886,0.736080059,0.873039646,#D3D3D3,0.133074947
ICMT,0.229309743,0.174398284,0.412592458,#D3D3D3,0.758457794
RER1,-0.14249282,0.305017934,0.562632402,#D3D3D3,0.515674625
ANKAR,0.148884711,0.555071721,0.765938987,#D3D3D3,0.255650898
SSR3,-0.732921534,0.004510215,0.038547245,#0072B2,2.345802735
TVP23B,-0.010630623,0.948954048,0.979224363,#D3D3D3,0.022754817
SREK1,0.322483797,0.124971875,0.339393488,#D3D3D3,0.903187713
FUT11,-0.072236129,0.668204112,0.836073653,#D3D3D3,0.175090856
GPR156,-0.611016086,0.01813129,0.101523175,#0072B2,1.741571304
EAF2,-0.526667202,0.046923164,0.185058696,#0072B2,1.328612714
C12orf75,0.466340419,0.140589828,0.363197573,#D3D3D3,0.8520461
OBP2B,-0.632719442,0.106710667,0.309611315,#D3D3D3,0.971792166
PKD2L2,-0.482991544,0.248858516,0.503090013,#D3D3D3,0.604047492
SAMD5,-0.115196159,0.467411908,0.702189699,#D3D3D3,0.330300227
SLC22A5,-1.352985825,0.000328488,0.00586167,#0072B2,3.483480015
C6,0.179062978,0.64685233,0.824476229,#D3D3D3,0.189194853
FAM170B,0.182734029,0.502673109,0.727153427,#D3D3D3,0.298714347
WDR44,0.087784297,0.71735328,0.86348767,#D3D3D3,0.144266912
TRIOBP,-0.280941552,0.2373721,0.491106748,#D3D3D3,0.624570328
SPINK5,-0.465997809,0.063230248,0.223748517,#D3D3D3,1.199075115
PLBD1,-1.042970452,0.000132314,0.003092966,#0072B2,3.878392573
BDH2,-0.219043901,0.278907278,0.535570612,#D3D3D3,0.554540153
C3orf38,0.292392906,0.294672056,0.552046448,#D3D3D3,0.530661047
